# spin    band          kx          ky          kz          E(MF)          E(QP)        Delta E
#                        (Cartesian coordinates)             (eV)           (eV)           (eV)
     1      33     0.58977     0.13492     0.00000   -2.301408628   -4.037816237   -1.736407609
     1      33     0.59534     0.12528     0.00000   -2.314971734   -4.038431877   -1.723460143
     1      33     0.60090     0.11564     0.00000   -2.326687808   -3.970780457   -1.644092648
     1      33     0.60646     0.10601     0.00000   -2.389669707   -4.020513631   -1.630843924
     1      33     0.61203     0.09637     0.00000   -2.460245173   -4.099649679   -1.639404506
     1      33     0.61759     0.08673     0.00000   -2.527957500   -4.176083706   -1.648126206
     1      33     0.62316     0.07710     0.00000   -2.585129252   -4.241644418   -1.656515165
     1      33     0.62872     0.06746     0.00000   -2.628216900   -4.296872942   -1.668656042
     1      33     0.63428     0.05782     0.00000   -2.657647373   -4.342688777   -1.685041404
     1      33     0.63985     0.04818     0.00000   -2.690511390   -4.381916827   -1.691405436
     1      33     0.64541     0.03855     0.00000   -2.729267199   -4.442022620   -1.712755421
     1      33     0.65098     0.02891     0.00000   -2.753598992   -4.478106238   -1.724507246
     1      33     0.65654     0.01927     0.00000   -2.767483931   -4.501003520   -1.733519589
     1      33     0.66210     0.00964     0.00000   -2.774259991   -4.517224071   -1.742964080
     1      33     0.66767     0.00000     0.00000   -2.776183066   -4.528947696   -1.752764630
     1      33     0.64541     0.00000     0.00000   -2.769964487   -4.504036646   -1.734072160
     1      33     0.62316     0.00000     0.00000   -2.750916313   -4.466732090   -1.715815777
     1      33     0.60090     0.00000     0.00000   -2.710142670   -4.399809460   -1.689666790
     1      33     0.57865     0.00000     0.00000   -2.679947743   -4.367010521   -1.687062778
     1      33     0.55639     0.00000     0.00000   -2.638697765   -4.293241884   -1.654544118
     1      33     0.53413     0.00000     0.00000   -2.556677280   -4.202141936   -1.645464657
     1      33     0.51188     0.00000     0.00000   -2.459582396   -4.138599924   -1.679017528
     1      33     0.48962     0.00000     0.00000   -2.456932975   -4.207013889   -1.750080913
     1      33     0.46737     0.00000     0.00000   -2.456758858   -4.228497423   -1.771738564
     1      33     0.44511     0.00000     0.00000   -2.448021969   -4.238447116   -1.790425147
     1      33     0.42286     0.00000     0.00000   -2.428552316   -4.236136185   -1.807583869
     1      33     0.40060     0.00000     0.00000   -2.396164477   -4.217619477   -1.821455000
     1      33     0.37835     0.00000     0.00000   -2.347884274   -4.182837944   -1.834953670
     1      33     0.35609     0.00000     0.00000   -2.278816251   -4.122980397   -1.844164146
     1      33     0.33383     0.00000     0.00000   -2.181057510   -4.034647950   -1.853590441
     1      33     0.31158     0.00000     0.00000   -2.046522247   -3.887358837   -1.840836590
     1      33     0.28932     0.00000     0.00000   -1.876610902   -3.706699297   -1.830088394
     1      33     0.26707     0.00000     0.00000   -1.683819487   -3.506711028   -1.822891541
     1      33     0.24481     0.00000     0.00000   -1.503396287   -3.278326369   -1.774930082
     1      33     0.22256     0.00000     0.00000   -1.325579708   -3.100600951   -1.775021243
     1      33     0.20030     0.00000     0.00000   -1.156426617   -2.930726796   -1.774300179
     1      33     0.17804     0.00000     0.00000   -1.168444167   -2.952628054   -1.784183887
     1      33     0.15579     0.00000     0.00000   -1.210481627   -3.009473722   -1.798992095
     1      33     0.13353     0.00000     0.00000   -1.245261176   -3.051548207   -1.806287031
     1      33     0.11128     0.00000     0.00000   -1.256855919   -3.040708350   -1.783852431
     1      33     0.08902     0.00000     0.00000   -1.217957303   -2.961776435   -1.743819132
     1      33     0.06677     0.00000     0.00000   -1.144445904   -2.857543008   -1.713097104
     1      33     0.04451     0.00000     0.00000   -1.073980867   -2.757421853   -1.683440985
     1      33     0.02226     0.00000     0.00000   -1.024934547   -2.682195310   -1.657260763
     1      33     0.00000     0.00000     0.00000   -1.007415359   -2.630965723   -1.623550364
     1      34     0.00000     0.00000     0.00000   -1.007415359   -2.630965723   -1.623550364
     1      34     0.01113     0.01927     0.00000   -1.024318023   -2.681531892   -1.657213868
     1      34     0.02226     0.03855     0.00000   -1.068693050   -2.755256160   -1.686563110
     1      34     0.03338     0.05782     0.00000   -1.124624618   -2.867119800   -1.742495182
     1      34     0.04451     0.07710     0.00000   -1.167493789   -2.961024612   -1.793530823
