  0.000000000  0.000000000  0.000000000      12
       1      23   -2.447007112   -3.679437054
       1      24   -2.447007112   -3.679437054
       1      25   -1.180760502   -2.223404625
       1      26   -1.180760502   -2.223404625
       1      27    1.773553836    1.561286203
       1      28    1.773553836    1.561286203
       1      29    1.853375370    1.635282649
       1      30    1.853375370    1.635282649
       1      31    2.031173188    1.741632078
       1      32    2.031173188    1.741632078
       1      33    2.036131713    1.735667052
       1      34    2.036131713    1.735667052
  0.000000000  0.041666667  0.000000000      12
       1      23   -2.372420414   -3.692890865
       1      24   -2.372420414   -3.692890865
       1      25   -1.188825751   -2.233420986
       1      26   -1.188825751   -2.233420986
       1      27    1.753575722    1.553565401
       1      28    1.753575722    1.553565401
       1      29    1.868473190    1.643864929
       1      30    1.868473190    1.643864929
       1      31    1.950449476    1.681048779
       1      32    1.950449476    1.681048779
       1      33    2.004431681    1.716123737
       1      34    2.004431681    1.716123737
  0.000000000  0.083333333  0.000000000      12
       1      23   -2.221148446   -3.646843654
       1      24   -2.221148446   -3.646843654
       1      25   -1.219788469   -2.270022712
       1      26   -1.219788469   -2.270022712
       1      27    1.653964937    1.479826922
       1      28    1.653964937    1.479826922
       1      29    1.725681097    1.492310973
       1      30    1.725681097    1.492310973
       1      31    1.906590954    1.624950761
       1      32    1.906590954    1.624950761
       1      33    2.012137908    1.819194863
       1      34    2.012137908    1.819194863
  0.000000000  0.125000000  0.000000000      12
       1      23   -2.136659094   -3.643542985
       1      24   -2.136659094   -3.643542985
       1      25   -1.291968687   -2.350277950
       1      26   -1.291968687   -2.350277950
       1      27    1.445220440    1.245630478
       1      28    1.445220440    1.245630478
       1      29    1.589833242    1.482135177
       1      30    1.589833242    1.482135177
       1      31    1.783015321    1.519096158
       1      32    1.783015321    1.519096158
       1      33    2.197392316    2.022400029
       1      34    2.197392316    2.022400029
  0.000000000  0.166666667  0.000000000      12
       1      23   -2.155413541   -3.722281790
       1      24   -2.155413541   -3.722281790
       1      25   -1.426413899   -2.489927218
       1      26   -1.426413899   -2.489927218
       1      27    1.223352747    1.072858941
       1      28    1.223352747    1.072858941
       1      29    1.587557246    1.497293047
       1      30    1.587557246    1.497293047
       1      31    1.642935516    1.437622720
       1      32    1.642935516    1.437622720
       1      33    2.416477447    2.260718575
       1      34    2.416477447    2.260718575
  0.000000000  0.208333333  0.000000000      12
       1      23   -2.265081852   -3.864951555
       1      24   -2.265081852   -3.864951555
       1      25   -1.624474410   -2.682295211
       1      26   -1.624474410   -2.682295211
       1      27    1.095072271    0.990842982
       1      28    1.095072271    0.990842982
       1      29    1.486709054    1.286376027
       1      30    1.486709054    1.286376027
       1      31    1.714149413    1.686958905
       1      32    1.714149413    1.686958905
       1      33    2.636908279    2.500956025
       1      34    2.636908279    2.500956025
  0.000000000  0.250000000  0.000000000      12
       1      23   -2.423875958   -4.031825277
       1      24   -2.423875958   -4.031825277
       1      25   -1.846884431   -2.886187864
       1      26   -1.846884431   -2.886187864
       1      27    1.073902065    1.007846387
       1      28    1.073902065    1.007846387
       1      29    1.364514292    1.213316862
       1      30    1.364514292    1.213316862
       1      31    1.913761367    1.901289455
       1      32    1.913761367    1.901289455
       1      33    2.838044209    2.720536310
       1      34    2.838044209    2.720536310
  0.000000000  0.291666667  0.000000000      12
       1      23   -2.526107684   -3.899383415
       1      24   -2.526107684   -3.899383415
       1      25   -2.021848838   -3.042371432
       1      26   -2.021848838   -3.042371432
       1      27    1.136521714    1.099096287
       1      28    1.136521714    1.099096287
       1      29    1.281810722    1.194837873
       1      30    1.281810722    1.194837873
       1      31    2.156041626    2.148006670
       1      32    2.156041626    2.148006670
       1      33    3.007939996    2.906758219
       1      34    3.007939996    2.906758219
  0.000000000  0.333333333  0.000000000      12
       1      23   -2.339822100   -3.704099524
       1      24   -2.339822100   -3.704099524
       1      25   -2.081775322   -3.109798383
       1      26   -2.081775322   -3.109798383
       1      27    1.204361965    1.175810682
       1      28    1.204361965    1.175810682
       1      29    1.296231392    1.298163202
       1      30    1.296231392    1.298163202
       1      31    2.397041707    2.389251080
       1      32    2.397041707    2.389251080
       1      33    3.141943343    3.053959394
       1      34    3.141943343    3.053959394
  0.000000000  0.375000000  0.000000000      12
       1      23   -2.177259268   -3.575539647
       1      24   -2.177259268   -3.575539647
       1      25   -2.013024909   -3.090980950
       1      26   -2.013024909   -3.090980950
       1      27    1.215486642    1.246917020
       1      28    1.215486642    1.246917020
       1      29    1.440102601    1.477497974
       1      30    1.440102601    1.477497974
       1      31    2.601559599    2.592371374
       1      32    2.601559599    2.592371374
       1      33    3.240533815    3.162824816
       1      34    3.240533815    3.162824816
  0.000000000  0.416666667  0.000000000      12
       1      23   -2.052935429   -3.505643161
       1      24   -2.052935429   -3.505643161
       1      25   -1.876754820   -2.989283076
       1      26   -1.876754820   -2.989283076
       1      27    1.242527729    1.328211695
       1      28    1.242527729    1.328211695
       1      29    1.599176280    1.663992260
       1      30    1.599176280    1.663992260
       1      31    2.748325591    2.738095351
       1      32    2.748325591    2.738095351
       1      33    3.306899630    3.236363831
       1      34    3.306899630    3.236363831
  0.000000000  0.458333333  0.000000000      12
       1      23   -1.976061285   -3.475403164
       1      24   -1.976061285   -3.475403164
       1      25   -1.750846813   -2.882304065
       1      26   -1.750846813   -2.882304065
       1      27    1.272798672    1.393668631
       1      28    1.272798672    1.393668631
       1      29    1.727406026    1.811934762
       1      30    1.727406026    1.811934762
       1      31    2.832525570    2.821785621
       1      32    2.832525570    2.821785621
       1      33    3.344817461    3.278637923
       1      34    3.344817461    3.278637923
